,authId,eccs,papers,pianyiliang,Hindex
3529,'auId': 2077338770,5,1,5,1
2882,'auId': 207751538,1,1,1,1
5295,'auId': 2077668837,4,1,4,1
2198,'auId': 2077695977,3,1,3,1
4514,'auId': 2077766773,122,1,122,1
4871,'auId': 2078184950,26,1,26,1
3659,'auId': 2078289988,23,1,23,1
5237,'auId': 2078517239,20,1,20,1
4376,'auId': 2078633956,321,6,53.5,5
481,'auId': 2078688967,4,2,2,1
5644,'auId': 2078771436,7,1,7,1
1807,'auId': 2079150322,78,2,39,2
270,'auId': 2079278047,189,3,63,2
5091,'auId': 2079447303,9,1,9,1
1751,'auId': 2079517499,0,1,0,0
893,'auId': 2079530558,15,3,5,2
1867,'auId': 2079583863,14,4,3.5,2
1100,'auId': 2079584417,803,1,803,1
2704,'auId': 2079610776,256,4,64,4
4014,'auId': 2079635166,207,4,51.75,4
3155,'auId': 207967185,8,1,8,1
2287,'auId': 207969196,237,2,118.5,2
1818,'auId': 2079795601,7,2,3.5,2
2061,'auId': 2079889949,26,3,8.67,2
2803,'auId': 2079890961,4,1,4,1
1598,'auId': 2079929753,1,1,1,1
779,'auId': 2079978182,560,2,280,2
5536,'auId': 2080012343,25,3,8.33,1
2536,'auId': 2080150386,5,1,5,1
5407,'auId': 2080198120,139,1,139,1
2015,'auId': 2080344424,98,2,49,2
1757,'auId': 2080374953,4,1,4,1
930,'auId': 2080667187,15,1,15,1
148,'auId': 2080686788,19,4,4.75,3
3194,'auId': 2080877090,18,1,18,1
2601,'auId': 2080962056,15,1,15,1
1961,'auId': 2081156236,50,3,16.67,3
4435,'auId': 2081463322,113,2,56.5,2
2223,'auId': 2081486485,433,1,433,1
2277,'auId': 2081624886,13,1,13,1
1529,'auId': 2082112691,13,1,13,1
1735,'auId': 2082182884,2,1,2,1
483,'auId': 2082222046,17,1,17,1
2804,'auId': 2082241428,1,1,1,1
4578,'auId': 2082255270,24,1,24,1
70,'auId': 2082347573,3,1,3,1
4515,'auId': 2082373558,62,1,62,1
5283,'auId': 2082432826,12,1,12,1
1625,'auId': 2082514191,1,1,1,1
4731,'auId': 2083138768,38,2,19,2
927,'auId': 208343995,15,1,15,1
5400,'auId': 2083455184,60,1,60,1
1375,'auId': 208362897,0,1,0,0
3483,'auId': 2083845037,9,1,9,1
5462,'auId': 2083986501,27,1,27,1
484,'auId': 2084137889,9,1,9,1
658,'auId': 2084614254,96,1,96,1
1497,'auId': 2084679015,15,1,15,1
5123,'auId': 2084777258,12,4,3,2
4499,'auId': 2085016437,13,2,6.5,2
1384,'auId': 2085104429,110,10,11,5
2612,'auId': 2085636894,1,1,1,1
2821,'auId': 2086021326,7,1,7,1
1198,'auId': 2086056740,4,1,4,1
3865,'auId': 2086114595,1559,10,155.9,8
2667,'auId': 2086140269,11,1,11,1
3462,'auId': 2086424281,84,1,84,1
3895,'auId': 2086475204,509,12,42.42,9
2431,'auId': 2086670939,2,1,2,1
785,'auId': 2086736708,15,1,15,1
4378,'auId': 2086808588,55,1,55,1
3204,'auId': 2086922428,2,1,2,1
5694,'auId': 2087115790,66,2,33,2
416,'auId': 2087598396,83,2,41.5,2
5126,'auId': 2087742686,13,1,13,1
476,'auId': 2087825057,12,2,6,2
5506,'auId': 2087912476,2,1,2,1
1466,'auId': 2088536091,327,4,81.75,4
4453,'auId': 2088648175,57,2,28.5,2
5087,'auId': 2088682983,10,1,10,1
4428,'auId': 2088831839,123,5,24.6,4
89,'auId': 2088899250,11,1,11,1
5103,'auId': 2088939020,17,1,17,1
4225,'auId': 2088986780,11,1,11,1
1787,'auId': 2089011938,181,1,181,1
3725,'auId': 2089131864,664,2,332,2
4665,'auId': 2089290244,128,1,128,1
1444,'auId': 2089317991,8,1,8,1
4338,'auId': 2089614769,5,1,5,1
5607,'auId': 2089641236,4,1,4,1
1284,'auId': 2089715156,0,1,0,0
3138,'auId': 2089926519,8,1,8,1
2828,'auId': 2090099268,20,1,20,1
1045,'auId': 2090152442,318,1,318,1
3480,'auId': 2090235954,8,1,8,1
937,'auId': 2090453470,7,1,7,1
3966,'auId': 2090935536,13,2,6.5,2
2186,'auId': 2091164281,4,1,4,1
4390,'auId': 2091266144,23,2,11.5,2
1484,'auId': 209138651,66,1,66,1
1297,'auId': 2091431758,13,1,13,1
2444,'auId': 2091655785,10,1,10,1
4977,'auId': 2092023269,175,10,17.5,6
5188,'auId': 2092172160,21,2,10.5,2
5200,'auId': 2092227063,31,1,31,1
990,'auId': 2092251588,117,1,117,1
1659,'auId': 2092311610,110,1,110,1
5493,'auId': 2092323475,158,3,52.67,3
4185,'auId': 2092380135,0,1,0,0
4629,'auId': 2092398590,3,1,3,1
599,'auId': 2092489667,24,1,24,1
4074,'auId': 2092577353,18,2,9,2
1602,'auId': 2092618994,6,1,6,1
3241,'auId': 2092639762,0,1,0,0
628,'auId': 2092672596,171,10,17.1,6
3232,'auId': 2092720519,29,1,29,1
2683,'auId': 2092811611,42,2,21,2
2267,'auId': 2093027818,228,1,228,1
356,'auId': 2093264594,80,1,80,1
1786,'auId': 2093496809,12,2,6,2
1233,'auId': 2093531752,801,1,801,1
4587,'auId': 2093607815,8,1,8,1
3515,'auId': 2093895374,4,1,4,1
2088,'auId': 2093908315,7,1,7,1
3416,'auId': 2093953614,86,2,43,2
772,'auId': 2094160058,182,1,182,1
5088,'auId': 2094180671,3,1,3,1
2192,'auId': 2094248864,15,2,7.5,1
3736,'auId': 2094301929,35,3,11.67,2
4271,'auId': 2094373454,88,1,88,1
535,'auId': 2094396357,4,1,4,1
3050,'auId': 2094707210,9,1,9,1
5649,'auId': 2094778777,127,1,127,1
4793,'auId': 2094834365,10,1,10,1
2853,'auId': 2094960117,55,1,55,1
923,'auId': 2094986517,20,1,20,1
4641,'auId': 2095097875,8,1,8,1
413,'auId': 2095215669,28,1,28,1
5502,'auId': 2095229728,5,1,5,1
2072,'auId': 2095381979,67,1,67,1
5307,'auId': 2095384132,1,1,1,1
2745,'auId': 2095510319,29,1,29,1
3827,'auId': 2095629070,6,2,3,2
3844,'auId': 2095669906,91,4,22.75,3
5297,'auId': 2095673574,90,2,45,2
3926,'auId': 2095674068,0,1,0,0
5321,'auId': 2095699422,1,1,1,1
3838,'auId': 2095729705,26,1,26,1
5708,'auId': 2095746829,456,2,228,2
452,'auId': 2095785948,49,4,12.25,4
2253,'auId': 2095832705,19,1,19,1
2180,'auId': 2095872276,33,2,16.5,2
1171,'auId': 2095956535,16,2,8,1
4404,'auId': 2096074485,16,1,16,1
1603,'auId': 2096190059,8,1,8,1
3614,'auId': 2096248712,94,1,94,1
2306,'auId': 2096269973,324,2,162,2
3074,'auId': 2096279376,1,1,1,1
2570,'auId': 2096283876,52,5,10.4,5
1745,'auId': 2096343230,29,2,14.5,2
589,'auId': 2096379322,4,1,4,1
264,'auId': 2096404504,5,1,5,1
756,'auId': 2096416739,44,2,22,2
2335,'auId': 2096510293,1,1,1,1
4528,'auId': 2096520875,142,2,71,2
5061,'auId': 2096532069,9,2,4.5,2
3334,'auId': 2096537073,139,5,27.8,5
2040,'auId': 2096566756,226,7,32.29,7
1261,'auId': 2096585231,370,4,92.5,4
754,'auId': 2096599005,2,1,2,1
910,'auId': 2096610900,147,4,36.75,3
957,'auId': 2096706752,10,1,10,1
3776,'auId': 2096731881,86,1,86,1
755,'auId': 2096765220,6,1,6,1
2552,'auId': 2096858295,6,1,6,1
585,'auId': 2096859791,569,9,63.22,7
2033,'auId': 2096869373,6,1,6,1
3899,'auId': 2096884534,35,4,8.75,2
1279,'auId': 2096887853,241,2,120.5,2
2880,'auId': 2096891736,77,1,77,1
5205,'auId': 2096910461,11,1,11,1
1010,'auId': 2096912509,71,2,35.5,2
539,'auId': 2096941622,223,2,111.5,2
2464,'auId': 2096944442,9,1,9,1
4545,'auId': 2097086605,40,2,20,2
4000,'auId': 2097102519,1,1,1,1
2923,'auId': 2097146830,522,2,261,2
2354,'auId': 2097167335,1,1,1,1
5211,'auId': 2097232377,145,1,145,1
3187,'auId': 2097234852,358,1,358,1
2391,'auId': 2097244095,16,1,16,1
2394,'auId': 2097273326,8993,18,499.61,13
5754,'auId': 2097306286,738,2,369,1
247,'auId': 2097450008,15,2,7.5,2
1130,'auId': 2097487198,43,4,10.75,3
953,'auId': 2097493837,4,1,4,1
2854,'auId': 2097504463,808,1,808,1
3987,'auId': 2097658078,16,1,16,1
4713,'auId': 209766775,98,5,19.6,4
4270,'auId': 2097678118,11,1,11,1
5431,'auId': 2097703981,17,1,17,1
4295,'auId': 2097706674,29,2,14.5,2
1226,'auId': 2097717730,8,1,8,1
1837,'auId': 2097740915,93,1,93,1
2082,'auId': 2097778451,84,1,84,1
5485,'auId': 2097843311,3,1,3,1
1507,'auId': 2097879502,177,3,59,3
4689,'auId': 2097897364,8,1,8,1
3514,'auId': 2097937733,7,1,7,1
3942,'auId': 2097941350,11,1,11,1
1761,'auId': 2098016057,14,1,14,1
1960,'auId': 2098075286,11,2,5.5,2
550,'auId': 2098077512,92,1,92,1
3858,'auId': 2098100626,55,1,55,1
562,'auId': 2098118527,2,1,2,1
1993,'auId': 2098143020,11,1,11,1
3455,'auId': 2098173140,783,1,783,1
113,'auId': 2098195998,8,1,8,1
4762,'auId': 2098223845,5,1,5,1
5093,'auId': 2098236719,20,1,20,1
138,'auId': 2098295557,12,1,12,1
5606,'auId': 2098297284,19,1,19,1
2271,'auId': 2098376611,7,1,7,1
4876,'auId': 2098416792,15,1,15,1
1858,'auId': 2098417787,1206,1,1206,1
1885,'auId': 2098576093,8,1,8,1
5446,'auId': 2098596367,69,2,34.5,2
2199,'auId': 2098604492,10,2,5,2
3724,'auId': 2098657502,14,1,14,1
2423,'auId': 2098665416,25,1,25,1
1463,'auId': 2098683697,30,3,10,2
1986,'auId': 2098691938,3,1,3,1
4844,'auId': 2098711253,80,8,10,6
3774,'auId': 2098734601,16,1,16,1
5133,'auId': 2098770821,11,1,11,1
4780,'auId': 209877522,2,1,2,1
5314,'auId': 2098797593,2,1,2,1
3663,'auId': 2098798916,1,1,1,1
1543,'auId': 2098821808,81,2,40.5,2
1310,'auId': 2098829932,3,1,3,1
2915,'auId': 2098834125,6,1,6,1
5336,'auId': 2098928255,114,1,114,1
422,'auId': 2099002044,0,1,0,0
4083,'auId': 2099062446,1,1,1,1
1573,'auId': 2099078568,3,1,3,1
3190,'auId': 2099089245,253,2,126.5,2
4764,'auId': 2099091510,1212,9,134.67,7
1436,'auId': 2099159571,60,2,30,2
4321,'auId': 2099244378,84,1,84,1
1191,'auId': 2099263982,341,3,113.67,3
414,'auId': 2099325229,24,4,6,3
4425,'auId': 2099379656,10,2,5,2
4179,'auId': 2099399379,274,6,45.67,5
4004,'auId': 2099496881,21,1,21,1
3989,'auId': 2099541584,4,1,4,1
5168,'auId': 2099647344,739,18,41.06,12
890,'auId': 2099681920,1,1,1,1
249,'auId': 2099699270,28,1,28,1
5098,'auId': 2099769723,46,6,7.67,5
1363,'auId': 2099826114,5,1,5,1
2976,'auId': 2099829627,67,1,67,1
3861,'auId': 2099856945,276,1,276,1
5019,'auId': 2099863730,25,1,25,1
3464,'auId': 2099875912,6,2,3,1
3712,'auId': 2099946043,4,1,4,1
3680,'auId': 2099978586,72,3,24,2
1880,'auId': 2099991264,192,3,64,3
1205,'auId': 2100031605,78,1,78,1
1425,'auId': 2100076307,19,1,19,1
1906,'auId': 2100123673,52,3,17.33,3
2272,'auId': 2100217226,89,1,89,1
5301,'auId': 2100349271,6,1,6,1
4759,'auId': 2100373868,6,1,6,1
4344,'auId': 2100385886,44,2,22,2
3908,'auId': 2100396418,142,4,35.5,3
19,'auId': 2100444261,77,3,25.67,2
1338,'auId': 2100461916,6,1,6,1
2349,'auId': 2100464870,2,1,2,1
4393,'auId': 2100542476,1,1,1,1
5014,'auId': 2100545504,6,1,6,1
1734,'auId': 2100554498,1,1,1,1
2,'auId': 2100565365,727,5,145.4,4
820,'auId': 2100602521,9,1,9,1
5723,'auId': 2100618501,85,3,28.33,3
4016,'auId': 2100672198,371,1,371,1
2470,'auId': 2100767082,21,1,21,1
4951,'auId': 2100773740,244,6,40.67,5
97,'auId': 2100807608,48,5,9.6,3
1891,'auId': 2100833957,2,1,2,1
4356,'auId': 2100886682,536,1,536,1
3873,'auId': 2100888306,163,4,40.75,4
1934,'auId': 2100918421,2,1,2,1
828,'auId': 2100965217,18,1,18,1
1522,'auId': 2101046619,67,1,67,1
3539,'auId': 2101048513,43,2,21.5,2
3500,'auId': 2101096611,24,1,24,1
530,'auId': 2101109670,24,1,24,1
3582,'auId': 2101110011,236,3,78.67,3
858,'auId': 2101135606,315,8,39.38,6
3829,'auId': 2101152111,1,1,1,1
1588,'auId': 2101230383,7,1,7,1
3321,'auId': 2101365550,599,3,199.67,3
1355,'auId': 2101417621,120,2,60,2
2043,'auId': 2101434519,173,1,173,1
5082,'auId': 2101459250,12,1,12,1
1958,'auId': 2101484218,291,2,145.5,2
4088,'auId': 2101508713,57,1,57,1
817,'auId': 2101516921,12,1,12,1
5328,'auId': 2101539391,13,1,13,1
5753,'auId': 2101552792,147,4,36.75,3
1903,'auId': 2101560749,1,1,1,1
3183,'auId': 2101601520,16,1,16,1
4291,'auId': 2101610026,22,1,22,1
277,'auId': 2101788098,53,1,53,1
5375,'auId': 2101879310,278,2,139,2
4927,'auId': 2101922781,713,13,54.85,9
1212,'auId': 2101964938,193,2,96.5,2
4711,'auId': 2101970311,248,3,82.67,3
373,'auId': 2101992195,5,2,2.5,1
4502,'auId': 2102002796,174,4,43.5,4
4067,'auId': 2102013811,671,4,167.75,4
3517,'auId': 2102039014,6,1,6,1
4150,'auId': 2102080675,2,1,2,1
5686,'auId': 2102089711,13,2,6.5,2
4018,'auId': 2102101654,698,10,69.8,8
5191,'auId': 2102128269,57,1,57,1
3371,'auId': 2102146905,11,2,5.5,2
442,'auId': 2102191007,193,2,96.5,2
5509,'auId': 2102191302,35,2,17.5,2
2440,'auId': 2102216805,20,1,20,1
3215,'auId': 2102340508,3,1,3,1
5189,'auId': 2102349864,51,1,51,1
2973,'auId': 2102386596,7,2,3.5,2
5045,'auId': 2102570927,1106,13,85.08,10
4555,'auId': 2102633754,253,2,126.5,2
5432,'auId': 2102645874,141,2,70.5,1
542,'auId': 2102662993,31,1,31,1
1565,'auId': 2102672845,3,1,3,1
1000,'auId': 2102680016,6,1,6,1
2719,'auId': 2102707592,109,1,109,1
4490,'auId': 2102727003,8,1,8,1
2762,'auId': 2102785714,72,2,36,2
1395,'auId': 2102791789,2,2,1,1
2526,'auId': 2102952440,26,1,26,1
4983,'auId': 2103030332,5914,9,657.11,6
4316,'auId': 2103107599,16,1,16,1
2550,'auId': 2103220466,19,2,9.5,1
2109,'auId': 2103289521,56,1,56,1
2604,'auId': 2103291335,93,1,93,1
3604,'auId': 2103329329,19,1,19,1
1470,'auId': 2103336841,109,2,54.5,2
4434,'auId': 2103369886,179,3,59.67,2
2797,'auId': 2103373651,3,1,3,1
3682,'auId': 2103387627,4,1,4,1
3969,'auId': 2103413750,4,1,4,1
4189,'auId': 2103421621,1,1,1,1
5479,'auId': 2103424377,4,1,4,1
3356,'auId': 2103426636,33,2,16.5,2
2005,'auId': 2103467124,2,1,2,1
2165,'auId': 2103610382,23,1,23,1
2383,'auId': 2103646311,16,1,16,1
3583,'auId': 2103662685,318,5,63.6,5
1679,'auId': 2103684085,371,1,371,1
1193,'auId': 2103726196,21,1,21,1
5567,'auId': 2103877068,91,3,30.33,3
5000,'auId': 2103880383,120,6,20,4
3153,'auId': 2103920730,34,3,11.33,2
2098,'auId': 2103928673,3,1,3,1
2490,'auId': 2103969243,1,1,1,1
1383,'auId': 2103970822,2,1,2,1
4971,'auId': 2103993333,4,1,4,1
45,'auId': 2103999387,298,9,33.11,7
2825,'auId': 2104100727,3,1,3,1
1322,'auId': 2104120396,11,1,11,1
1309,'auId': 2104121242,21,2,10.5,2
5429,'auId': 2104129307,14,1,14,1
3063,'auId': 2104167960,3,1,3,1
3259,'auId': 2104185790,301,4,75.25,3
2432,'auId': 2104205198,21,1,21,1
2545,'auId': 2104216977,0,1,0,0
3839,'auId': 2104255241,2,1,2,1
1248,'auId': 2104272393,156,1,156,1
3668,'auId': 2104310165,4,1,4,1
3415,'auId': 2104401652,19736,37,533.41,31
4558,'auId': 2104437897,1,1,1,1
2357,'auId': 2104484276,2,1,2,1
1791,'auId': 2104489522,104,1,104,1
2213,'auId': 2104512981,9,2,4.5,1
5021,'auId': 2104530796,75,1,75,1
3932,'auId': 2104534353,10,1,10,1
284,'auId': 2104537911,20,1,20,1
4082,'auId': 2104557900,106,2,53,2
3739,'auId': 2104573517,5,1,5,1
2177,'auId': 2104621655,72,1,72,1
3720,'auId': 2104638231,182,2,91,2
1842,'auId': 2104660198,15,1,15,1
252,'auId': 2104689859,5,2,2.5,1
3573,'auId': 2104769244,7,2,3.5,1
1629,'auId': 2104814743,18,2,9,2
5251,'auId': 2104818967,34,1,34,1
510,'auId': 2104820117,6,1,6,1
5420,'auId': 2104844286,309,1,309,1
1288,'auId': 2104853573,77,1,77,1
4529,'auId': 2104878114,3,1,3,1
4941,'auId': 2104884551,109,3,36.33,3
4424,'auId': 2104888899,104,5,20.8,4
3694,'auId': 2105169186,81,1,81,1
5738,'auId': 2105188746,20,1,20,1
3156,'auId': 2105224252,7,2,3.5,1
4103,'auId': 2105228425,62,3,20.67,3
3675,'auId': 2105248460,342,2,171,2
699,'auId': 2105326385,396,1,396,1
3209,'auId': 2105449345,3,1,3,1
117,'auId': 2105451568,65,3,21.67,3
877,'auId': 2105591619,28,2,14,1
3442,'auId': 2105735912,313,3,104.33,3
260,'auId': 2105740350,56,1,56,1
924,'auId': 2105790724,13,1,13,1
2896,'auId': 2105795071,1,1,1,1
267,'auId': 2105854235,10,1,10,1
32,'auId': 2105855835,5,1,5,1
3936,'auId': 2106068739,12,3,4,2
5319,'auId': 2106076158,84,1,84,1
5081,'auId': 2106100954,145,1,145,1
205,'auId': 2106120769,200,6,33.33,4
3402,'auId': 2106173349,54,1,54,1
2417,'auId': 2106183115,17,1,17,1
1808,'auId': 2106210226,28,2,14,2
2160,'auId': 2106222798,44,3,14.67,3
3916,'auId': 2106266276,28,1,28,1
4739,'auId': 2106337712,17,1,17,1
2789,'auId': 2106386560,16,2,8,1
2362,'auId': 2106500497,204,5,40.8,4
908,'auId': 2106524753,5,1,5,1
2292,'auId': 2106580818,172,8,21.5,7
4892,'auId': 2106608393,4,1,4,1
164,'auId': 2106619626,9,4,2.25,2
2077,'auId': 2106620385,10,1,10,1
3877,'auId': 2106648747,89,1,89,1
3618,'auId': 2106662015,61,1,61,1
1878,'auId': 2106668379,159,2,79.5,2
5349,'auId': 2106676007,20,6,3.33,3
2792,'auId': 2106698597,1,1,1,1
4950,'auId': 2106722673,314,4,78.5,3
3518,'auId': 2106732052,2026,10,202.6,8
5132,'auId': 2106786457,42,6,7,4
5713,'auId': 2106816141,55,1,55,1
3798,'auId': 2106882380,373,8,46.63,6
928,'auId': 2106938234,16,1,16,1
4975,'auId': 2106960082,18,1,18,1
2558,'auId': 2106970006,1,1,1,1
5090,'auId': 2106990128,527,6,87.83,5
2117,'auId': 2107003637,148,2,74,2
569,'auId': 2107012171,31,2,15.5,2
2273,'auId': 2107049243,105,4,26.25,3
1264,'auId': 2107071564,11,1,11,1
4853,'auId': 2107073771,7,1,7,1
170,'auId': 2107097161,1,1,1,1
1067,'auId': 2107113418,6,1,6,1
2555,'auId': 2107138459,18,2,9,2
1401,'auId': 2107142044,106,3,35.33,3
1152,'auId': 2107276858,3629,2,1814.5,2
2075,'auId': 2107302653,7,1,7,1
2563,'auId': 2107346758,64,1,64,1
5793,'auId': 2107357764,1,1,1,1
5079,'auId': 2107390275,18,4,4.5,2
2016,'auId': 2107403660,7,1,7,1
1875,'auId': 2107488656,1,1,1,1
4738,'auId': 2107510470,11,1,11,1
114,'auId': 2107544790,5,1,5,1
1480,'auId': 2107595349,30,3,10,2
5434,'auId': 2107616711,3,1,3,1
5256,'auId': 2107715069,6,1,6,1
909,'auId': 2107833897,325,2,162.5,2
5016,'auId': 2107880059,127,1,127,1
547,'auId': 2107932047,93,4,23.25,4
3758,'auId': 2107984348,94,1,94,1
2709,'auId': 2108005498,73,1,73,1
1224,'auId': 2108025540,4554,13,350.31,9
1581,'auId': 2108056943,184,1,184,1
3708,'auId': 2108094162,180,2,90,2
229,'auId': 2108094886,8,1,8,1
3650,'auId': 2108106141,150,4,37.5,3
2838,'auId': 2108126638,77,4,19.25,3
2936,'auId': 2108133987,2,1,2,1
5620,'auId': 2108177689,9,1,9,1
3319,'auId': 2108196879,13,1,13,1
5553,'auId': 2108210217,9,1,9,1
3102,'auId': 2108287853,0,2,0,0
2687,'auId': 2108305646,16,1,16,1
3628,'auId': 2108335380,27,2,13.5,2
4477,'auId': 2108341226,244,7,34.86,6
1306,'auId': 2108351611,141,1,141,1
3750,'auId': 2108362240,105,2,52.5,2
1337,'auId': 2108374882,20,1,20,1
4093,'auId': 2108390110,12,1,12,1
1563,'auId': 2108446691,2,1,2,1
4937,'auId': 2108490218,72,3,24,3
4965,'auId': 2108671403,2,1,2,1
5140,'auId': 2108709012,14,1,14,1
4681,'auId': 2108731948,278,4,69.5,3
3789,'auId': 2108769517,338,3,112.67,3
4662,'auId': 2108873976,6,1,6,1
3012,'auId': 2108908667,4,1,4,1
2114,'auId': 2108971143,5,1,5,1
4863,'auId': 2108993706,71,5,14.2,4
5499,'auId': 2109010751,12,1,12,1
4583,'auId': 2109018630,129,8,16.13,5
56,'auId': 2109019199,91,1,91,1
5351,'auId': 2109031554,194,2,97,2
2527,'auId': 2109049942,17,1,17,1
4734,'auId': 2109060837,5,1,5,1
2773,'auId': 2109154127,0,1,0,0
3126,'auId': 2109156597,3,2,1.5,1
5250,'auId': 2109207395,50,7,7.14,4
2983,'auId': 2109349986,145,19,7.63,8
2906,'auId': 2109414697,4,1,4,1
311,'auId': 2109475261,23,1,23,1
4806,'auId': 2109477161,351,5,70.2,5
1407,'auId': 2109477865,3,1,3,1
4128,'auId': 2109513205,8,3,2.67,2
868,'auId': 2109601571,8,1,8,1
2791,'auId': 2109608981,720,2,360,2
401,'auId': 2109712542,20,3,6.67,3
2679,'auId': 2109726924,74,3,24.67,2
1499,'auId': 2109761981,10,1,10,1
1022,'auId': 2109786682,387,1,387,1
2173,'auId': 2109839647,29,2,14.5,2
2318,'auId': 2109864667,7,1,7,1
4419,'auId': 2109892207,61,2,30.5,2
3723,'auId': 2109913419,50,2,25,2
1855,'auId': 2109923633,39,2,19.5,2
487,'auId': 2109931192,26,1,26,1
4315,'auId': 2110010733,74,3,24.67,2
3310,'auId': 2110017872,11,1,11,1
5674,'auId': 2110070830,3,1,3,1
2952,'auId': 2110094408,12,1,12,1
752,'auId': 2110139497,6,1,6,1
4169,'auId': 2110150181,37,1,37,1
2871,'auId': 2110165986,3,1,3,1
2660,'auId': 2110197654,75,1,75,1
1244,'auId': 2110255174,160,6,26.67,5
2019,'auId': 2110299510,104,6,17.33,5
2494,'auId': 2110307189,12,2,6,2
3471,'auId': 2110344183,9,2,4.5,2
3674,'auId': 2110367587,2,1,2,1
5139,'auId': 2110423698,369,1,369,1
803,'auId': 2110456592,5,1,5,1
596,'auId': 2110557267,117,4,29.25,3
3473,'auId': 2110562409,20,1,20,1
3907,'auId': 2110675235,1,1,1,1
4826,'auId': 2110816158,68,1,68,1
3608,'auId': 2110873469,16,1,16,1
1703,'auId': 2110888335,89,1,89,1
3152,'auId': 2110922848,105,1,105,1
2453,'auId': 2111050734,7,1,7,1
2958,'auId': 2111059271,0,1,0,0
4218,'auId': 2111080464,0,1,0,0
1445,'auId': 2111163214,3,2,1.5,1
5500,'auId': 2111202481,1,1,1,1
4539,'auId': 2111218445,9,1,9,1
795,'auId': 2111225894,88,2,44,2
4111,'auId': 2111263976,98,3,32.67,3
745,'auId': 2111291218,49,6,8.17,5
496,'auId': 2111325082,156,1,156,1
3452,'auId': 2111378394,33,3,11,3
1709,'auId': 2111416850,53,3,17.67,3
2795,'auId': 2111530663,175,4,43.75,4
2056,'auId': 2111596939,126,3,42,3
3639,'auId': 2111600720,243,2,121.5,2
1671,'auId': 2111678102,218,6,36.33,6
5517,'auId': 2111740802,81,1,81,1
1278,'auId': 2111851554,91,1,91,1
1760,'auId': 2111901760,75,1,75,1
2321,'auId': 2111940921,72,1,72,1
1575,'auId': 2112008419,18,1,18,1
947,'auId': 2112027886,6,1,6,1
4350,'auId': 2112110562,52,1,52,1
503,'auId': 2112113198,30,1,30,1
1530,'auId': 2112120944,3,1,3,1
2140,'auId': 2112183694,21,2,10.5,2
2421,'auId': 2112433509,10,1,10,1
2218,'auId': 2112447077,0,1,0,0
5653,'auId': 2112462370,649,6,108.17,6
783,'auId': 2112473960,2,1,2,1
3963,'auId': 2112559523,57,4,14.25,3
899,'auId': 2112563698,1,1,1,1
3975,'auId': 2112574952,104,2,52,2
1552,'auId': 2112608526,3,1,3,1
4443,'auId': 2112654677,26,1,26,1
5024,'auId': 2112655129,15,1,15,1
2542,'auId': 2112667434,2,1,2,1
5459,'auId': 2112671150,25,1,25,1
3100,'auId': 2112716162,2784,15,185.6,12
133,'auId': 2112759499,1,1,1,1
4659,'auId': 2112773189,12,2,6,2
5605,'auId': 2112810595,816,13,62.77,9
132,'auId': 2112824674,2207,13,169.77,9
1941,'auId': 2112831471,37,2,18.5,2
5701,'auId': 2112871920,15,1,15,1
4742,'auId': 2112905802,7,1,7,1
5648,'auId': 2112909399,126,1,126,1
5501,'auId': 2112922986,19,1,19,1
5109,'auId': 2112924421,119,1,119,1
5208,'auId': 2112925650,4,1,4,1
4865,'auId': 2112940676,23,2,11.5,2
2658,'auId': 2113112913,16,2,8,2
4884,'auId': 2113134335,116,1,116,1
4090,'auId': 2113160865,5,1,5,1
3382,'auId': 2113186050,83,1,83,1
1426,'auId': 2113190158,24,1,24,1
5037,'auId': 2113234189,33,1,33,1
4643,'auId': 2113246774,31,6,5.17,3
3275,'auId': 2113251341,705,20,35.25,12
4492,'auId': 2113269357,55,1,55,1
3898,'auId': 2113280975,32,2,16,2
3973,'auId': 2113373501,27,1,27,1
932,'auId': 2113384868,115,4,28.75,3
4909,'auId': 2113462622,5,1,5,1
5763,'auId': 2113665458,32,5,6.4,3
5361,'auId': 2113668819,19,1,19,1
4079,'auId': 2113738310,3,1,3,1
1870,'auId': 2113857588,96,1,96,1
967,'auId': 2113868374,969,22,44.05,13
4696,'auId': 2113881035,15,3,5,2
1765,'auId': 2113884450,21,1,21,1
2400,'auId': 2113907588,3,2,1.5,1
3202,'auId': 2113927845,10,1,10,1
1145,'auId': 2113930927,3,1,3,1
1899,'auId': 2113965177,16,1,16,1
4380,'auId': 2114003991,147,1,147,1
4756,'auId': 2114054248,102,1,102,1
3821,'auId': 2114082250,7,2,3.5,1
5724,'auId': 2114102195,7,1,7,1
254,'auId': 2114188927,31,1,31,1
3440,'auId': 2114236078,1,1,1,1
4471,'auId': 2114254494,148,1,148,1
3291,'auId': 2114318968,87,3,29,3
3150,'auId': 2114323062,14,1,14,1
4960,'auId': 2114357324,14,2,7,2
2981,'auId': 2114361001,144,4,36,4
4693,'auId': 2114374559,31,2,15.5,2
3886,'auId': 2114437775,3,1,3,1
3119,'auId': 2114456593,83,2,41.5,2
5728,'auId': 2114473328,20,1,20,1
919,'auId': 2114516158,22,2,11,2
4119,'auId': 2114517990,134,2,67,2
3603,'auId': 2114524011,93,1,93,1
3919,'auId': 2114574273,6,1,6,1
3360,'auId': 2114681876,22,2,11,2
3772,'auId': 2114683746,2057,12,171.42,11
4932,'auId': 2114687144,276,3,92,3
5544,'auId': 2114707312,35,3,11.67,2
